Question Text,Marking Scheme,Example Answer
The founders of On reflect on how their products are perceived by the customers. Provide them with the definition of customer value by relying on the corresponding structural model and naming its main elements.,"Allocation of points:
1P for written definition of customer value (relative perceived customer benefit)
1P for the elements of the structural model (max. 3P)
 Points are given for the following elements of the model
(1P is per main element and 0.5P per secondary element):
- Customer value = relative perceived benefit – relative perceived cost (1P)
- Relative perceived benefit=perceived benefit of alternatives + perceived benefits (1P)
- Relative perceived cost = perceived cost of alternatives + perceived costs (1P)
- Behavioral outcomes = willingness to pay, repeat purchase, WoM advertising (1P)
- Satisfaction/perceived benefit = expectations and performance (0.5P)
- Perceived costs = perceived tangible and intangible costs (0.5P)","Customer value (value for the customer) => price/willingness to pay
Relative perceived benefit is compared to relative perceived costs => if the relative perceived customer value is sufficiently high (benefit > costs) => behavioral outcome: buy"
Define the customer value of On shoes based on information in the case.,"Allocation of points:
2P for meaningful definition of customer value of On
 2P if the relation between relative perceived benefit and relative perceived costs is
clear; it is necessary to illustrate the solution with concrete examples or information
from the case at hand (otherwise max. 1P).
 1P per meaningful element of the customer value. The following elements are accepted:
superior quality, distinct design and lifestyle, sportiness, uniqueness, comfort / walking on clouds, technology / innovation, community feeling, etc.
 0.5P if provided explanation is vague","Quality running shoe with superior characteristics compared to competition;
distinct design and lifestyle that differs from competing products"
What is the value chain of On shoes? Provide an outline with the key elements,1P per meaningful element of (and order in) the value chain (max. 4P),"research/development/innovation => design => raw material/procurement => production =>
packaging => transport/distribution/logistics => stocking/storage => marketing/events =>
wholesale/sales/retail => after sales service/customer support
Not accepted:
Activities placed in the wrong order; synonymous activities or repeated mentioning of the
same activity; elements that are not an activity or not regularly executed in the value chain."
What are the advantages and disadvantages of setting up your own production? Provide at least two arguments each.,"2P for two advantages (1P each)
2P for two disadvantages (1P each)","""+ full control over production/product quality
+ less contractual negotiations with partners/less transaction costs
+ no dependencies from handing over/outsourcing to supplier/independence
+ less risk of being copied or having one’s fabrication process stolen
+ knowledge and expertise stay in the organization
+ flexibility of production/changes can be made instantly
+ possible economies of scope/learning by doing economies
+ developing new competencies
+ quick reaction to problems arising in production
- higher costs for coordination and expertise/higher organizational costs
- increasing complexity
- requires the build-up of competences/knowledge
- capital intensive/resource intensive
- reduced flexibility due to fixed assets
- costs of hierarchical coordination within the organization
- reduced focus on core competences/decreasing specialization
- no risk sharing with suppliers/increased risk
- more employees/increased labor cost
- missing out on the expertise/efficiency/scale of specialized partners
Partly accepted (if disadvantage/advantage is clearly explained/justified):
+/- economies of scale; more expensive/higher production costs/costs in general; lower quality
Not accepted (because of vagueness or lack of generalizability/reasoning):
Own production (insourcing) = better quality / better image / no scandals / more transparency / no
focus on core competencies / no specialization / better work environment / easier innovation / shorter
way of communication / higher competition / not enough demand / location-boundedness / higher
profits / higher added value (requires specification)"
"Segment the market for leisure shoes by applying two meaningful criteria and at
least two specifications each.","2P for criteria (1P each)
2P for meaningful specifications (0.5P each)","Socio-demographic
=> income, willingness to pay, buying power, budget, gender, age, occupation etc.
Motive/needs-based
=> runners, walkers, hikers; style/fashion, functional/everyday use; athletes/non-athletes
Geographic
=> urban, rural; mountain/alpine, city; Europe, Asia, USA etc.
Psychographic
=> modern, traditional, environmentalist etc.
Partly accepted:
0.5P for synonyms of “motive/needs-based” (usage, activity, interests, purpose etc.)
0.5P for synonyms of “geographic” (place of living, region etc.)
0.5P for sociographic/demographic/socio-economic instead of socio-demographic
0.5P for activity-related features, when presented as a need (durability, waterproof, etc.)
Max. 0.5P each if specifications are not really different/based on same/similar criterion
Not accepted:
- Product features like price or quality that are not related to a specific need or motive
(not accepted as specifications for need/motive)
- Correct specifications of another criterion cited under the wrong criterion (e.g. psychographic criterion => age and gender: 1P for psychographic, 0P for age and gender)
- Geographic specification with rough/smooth soil; rough terrain is a characteristic of the
soil and does not describe a place in itself (urban or rural area/country etc.)
- Psycho-demographic"
"Develop a positioning for On in the market for leisure shoes. Present this positioning
in the form of a semantic differential with at least four characteristics.","Allocation of points:
1P per meaningful semantic differential and positioning (otherwise max. 0.5P)","Example solution:
expensive - X - - - - - cheap
young - - X - - - - old
urban - - - X - - - rural
sportive - X - - - - - unathletic
Further examples (accepted differentials): innovative/classic, premium/basic, running/hiking, heavy/light, plain/stylish, male/female, boring/exciting, comfort high/low, quality
high/low, sustainability high/low, customizability high/low, swissness high/low, etc.
Not accepted: text only (no differential), irrelevant criteria for sports shoes or sneakers, synonymous differentials, non-opposing terms at the two ends of the differentials, etc."
"For the founding team, the question of expansion into the market for tennis shoes
arises. What form of expansion of the product range is under consideration here?
Base your answer on the framework for program or assortment policy decisions.","Allocation of points:
1P for depth of product range + 1P for product differentiation or
1P for breadth of range + 1P for horizontal diversification
 Only the above-mentioned wording and combination is accepted.
In both cases, an explanation must be provided. Otherwise: max. 0.5P","Example solution: - It is an expansion of depth of product range, more precisely a product differentiation because the problem to be solved by the product remains the same (having adequate footwear to do sports). - It is an expansion of breadth of range, more precisely a horizontal diversification because the new product offering solves a different problem (but on the same level in the value chain or on the same performance level)."
How would you estimate the market potential for On tennis shoes? Evaluate two methodological variants for your estimation.,"Allocation of points: 2P for variants (1P each) 2P for meaningful evaluation/explanation of the variants (1P each)  Evaluation/explanation of variants must be provided to get all points (qualitative; quantitative: primary/secondary)
Partly accepted alternative approach:
Max. 2P for meaningful estimation of the market potential (which was not expected) when:
- The calculation contains at least three steps.
- The overall approach makes sense/is clear.
No extra points for estimations of several markets and market volumes.","Primary market research: generating new data (e.g. on trends, needs, market volume) => can be tailored to specific needs; probably more expensive Secondary market research: analyzing pre-existing data => can be done quickly and inexpensive; however, probably not as specific as tailored data collection

alternative approach: estimation of the market potential for the Swiss market
Market capacity:
=> There are around 8 million inhabitants in Switzerland.
=> Elderly and young children do not actively practice any kind of sport; 6 million remaining
=> 50% actively practice any kind of sports; 3 million remaining
=> 10% play tennis on a regular basis: total of 300,000 people
Market potential:
=> Assumption that only 20% are willing to pay a relatively high price for their tennis shoes
=> Market potential of 60,000 people"
Outline the distribution system of On by including the different channels and intermediaries as provided in the case.,1P per meaningful element of the description/sketch/distribution system (max. 4P) 0.5P for general statements on elements without direct relation to the system  No points when no element mentioned or no description of the system,Producing partner companies in Vietnam => logistics handled by Kühne+Nagel => local store networks/dealers => consumers Partly accepted (0.5P): - Describing the strategic option of the distribution system as selective - Describing the distribution system as indirect sale system - Naming supporting distribution elements - When an element of the channel is partly described (e.g. just “producer”) Not accepted (no extra points): - Double reference to a single element (e.g. “dealer” and “retailer”) - Activities not related to the elements of the distribution system (e.g. “acquisitions”) - System with channels is not clear (e.g. visually not clear) - Explanations why the channel is selective - Wrong answers (e.g. “there are no intermediaries”)
The founders are considering the development and promotion of their own webplatform to enter the direct sales market. Would you do this? Discuss the idea by including at least four reasons for and/or against.,"1P per meaningful reason for/against the idea with direct relation to sales/distribution
0.5P per meaningful reason for/against idea with indirect relation to sales/distribution
 No points when no relation to sales/distribution or no advantage/disadvantage 
","Example solutions: + Full control over distribution (quality, brand positioning, etc.) + Retaining a larger share of the product margin (by omitting intermediaries) + Reaching bigger audience (directly) + Accessibility/availability of the products (increased/wider) + Disintermediation (with explanation) +/- Direct contact to customers - More internal resources required/absorbed (capital, competences) - Risk of antagonizing existing distributors/dealers (by competing with them) Partly accepted (0.5P): increasing the internationality of the brand; identifying target markets; creation of a better image; increasing online shopping demands; not being able to try on the shoes in a store; channel swapping; etc. Not accepted (no extra points): bullet points without an actual discussion and explanation; no advantage or disadvantage recognizable (e.g. “stronger internet presence”); meaningless/unspecific answers without explanation; etc."
